PRIMARY_SAMPLE_UNIT,YEAR,latitude,longitude,REGION,total_algae_cover,total_coral_cover
1004.0,2018.0,24.53334,-81.86984,FLK,23.0,0.0
1006.0,2022.0,24.9494,-80.55943,FLK,16.8,1.0
1008.0,2018.0,24.552333,-81.685733,FLK,6.5,4.0
1008.0,2022.0,25.21248,-80.32474,FLK,19.0,0.0
1010.0,2022.0,25.73747,-80.11803,FLK,23.0,0.0
1011.0,2022.0,25.7347,-80.11502,FLK,11.2,1.0
1012.0,2016.0,25.31024,-80.21864,FLK,5.428571428571429,3.75
1014.0,2018.0,24.95012,-80.55208,FLK,17.6,1.0
1018.0,2018.0,25.3322,-80.2334,FLK,9.5,0.0
1019.0,2022.0,25.22912,-80.26825,FLK,24.5,4.5
1020.0,2018.0,24.521733,-81.652317,FLK,5.5,4.571428571428571
1023.0,2022.0,25.008,-80.43486,FLK,22.5,1.0
1027.0,2022.0,25.49277,-80.1408,FLK,13.25,1.6666666666666667
1030.0,2018.0,24.5348,-81.632267,FLK,15.333333333333334,5.25
1031.0,2018.0,24.47869,-81.96274,FLK,7.0,1.0
1033.0,2016.0,25.61221,-80.10626,FLK,38.0,1.0
1037.0,2018.0,24.55937,-81.47856,FLK,36.0,5.75
1039.0,2016.0,25.38479,-80.15346,FLK,10.166666666666666,1.25
1043.0,2018.0,24.48484,-81.85841,FLK,7.0,3.3333333333333335
1047.0,2018.0,24.50585,-81.709333,FLK,10.0,2.3333333333333335
1049.0,2016.0,25.41623,-80.14463,FLK,15.25,2.857142857142857
1050.0,2018.0,24.72065,-80.92662,FLK,13.0,5.5
1050.0,2022.0,24.59584,-81.39432,FLK,13.5,3.0
1052.0,2022.0,24.52915,-81.64928,FLK,0.0,2.0
1053.0,2018.0,24.68983,-81.03317,FLK,32.0,5.5
1055.0,2022.0,24.55509,-81.56663,FLK,6.666666666666667,6.25
1056.0,2016.0,25.32453,-80.16182,FLK,9.5,1.0
1059.0,2018.0,24.90323,-80.61779,FLK,4.6,11.0
1063.0,2022.0,24.5775,-81.4438,FLK,11.75,7.6
1065.0,2016.0,25.43187,-80.13137,FLK,15.25,1.0
1065.0,2018.0,25.04154,-80.42761,FLK,8.6,4.8
1066.0,2022.0,24.54132,-81.59522,FLK,21.0,3.3333333333333335
1067.0,2018.0,25.23881,-80.23891,FLK,10.0,1.3333333333333333
1068.0,2018.0,25.061133,-80.397017,FLK,19.5,5.5
1068.0,2022.0,24.50633,-81.73694,FLK,17.333333333333332,3.0
1072.0,2022.0,24.73738,-80.89785,FLK,15.5,1.0
1074.0,2022.0,24.65303,-81.14329,FLK,5.333333333333333,1.0
1075.0,2022.0,24.72609,-80.93315,FLK,10.333333333333334,3.0
1080.0,2018.0,25.66133,-80.10251,FLK,7.25,1.0
1080.0,2022.0,25.22561,-80.26402,FLK,16.0,2.8333333333333335
1081.0,2022.0,25.24023,-80.26812,FLK,8.666666666666666,7.2
1082.0,2018.0,25.34985,-80.1637215,FLK,9.333333333333334,1.0
1085.0,2016.0,25.40086,-80.12876,FLK,20.75,2.0
1085.0,2018.0,25.3689129,-80.1814807,FLK,7.166666666666667,5.0
1086.0,2018.0,25.4707,-80.136,FLK,28.0,2.0
1089.0,2018.0,25.3544764,-80.13835655,FLK,8.571428571428571,1.0
1091.0,2018.0,25.3743363,-80.1824381,FLK,10.0,2.3333333333333335
1093.0,2016.0,25.45783,-80.11259,FLK,7.857142857142857,1.5
1094.0,2022.0,24.50915,-81.66546,FLK,11.25,3.3333333333333335
1095.0,2018.0,25.4139322,-80.1583087,FLK,10.0,2.1666666666666665
1097.0,2018.0,25.4093774,-80.1513806,FLK,11.0,2.142857142857143
1100.0,2018.0,25.3741619,-80.1516268,FLK,12.5,1.5
1101.0,2016.0,25.37697,-80.13488,FLK,10.285714285714286,1.5
1101.0,2018.0,25.422951,-80.1572517,FLK,7.333333333333333,2.6
1106.0,2018.0,24.45258,-81.93717,FLK,17.5,1.5
1112.0,2018.0,24.63507,-81.09106,FLK,1.0,0.0
